Commonname(query)	ORF(query)	Description(query)	Alias(query)	Commonname(array)	ORF(array)	Description(array)	Alias(array)	SGA epsilon scores	P-value
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	ENB1	YOL158C	Endosomal ferric enterobactin transporter, expressed under conditions of iron deprivation; member of the major facilitator superfamily; expression is regulated by Rcs1p and affected by chloroquine treatment	ARN4	-0.323	0
ENB1	YOL158C	Endosomal ferric enterobactin transporter, expressed under conditions of iron deprivation; member of the major facilitator superfamily; expression is regulated by Rcs1p and affected by chloroquine treatment	ARN4	NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	-0.323	0
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	YVC1	YOR087W	Vacuolar cation channel, mediates release of Ca(2+) from the vacuole in response to hyperosmotic shock	TRPY1|YOR088W	-0.314	0.0003346
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1		YOL159C	Soluble protein of unknown function; deletion mutants are viable and have elevated levels of Ty1 retrotransposition and Ty1 cDNA		-0.31	0.0002784
ESC2	YDR363W	Sumo-like domain protein; prevents accumulation of toxic intermediates during replication-associated recombinational repair; roles in silencing, lifespan, chromatid cohesion and the intra-S-phase DNA damage checkpoint; RENi family member		NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	-0.309	4.317E-024
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	ESC2	YDR363W	Sumo-like domain protein; prevents accumulation of toxic intermediates during replication-associated recombinational repair; roles in silencing, lifespan, chromatid cohesion and the intra-S-phase DNA damage checkpoint; RENi family member		-0.309	4.317E-024
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1		YNL134C	Protein of unknown function; similar to dehydrogenases from other model organisms; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and nucleus; protein abundance increases in response to DNA replication stress		-0.301	0.0002412
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1		YGR122C-A	Dubious open reading frame unlikely to encode a functional protein, similar to YLR334C and YOL106W		-0.277	0.0003372
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	TCB1	YOR086C	Lipid-binding ER protein involved in ER-plasma membrane tethering; one of 6 proteins (Ist2p, Scs2p, Scs22p, Tcb1p, Tcb2p, Tcb3p) that connect ER to plasma membrane and regulate PI4P levels by controlling access of Sac1p phosphatase to its substrate PI4P in PM; contains 3 calcium and lipid binding domains; non-tagged protein also localizes to mitochondria; C-termini of Tcb1p, Tcb2p and Tcb3p interact; TCB1 has a paralog, TCB2, that arose from the whole genome duplication		-0.274	0.002277
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	ATG32	YIL146C	Mitochondrial outer membrane protein required to initiate mitophagy; recruits the autophagy adaptor protein Atg11p and the ubiquitin-like protein Atg8p to the mitochondrial surface to initiate mitophagy, the selective vacuolar degradation of mitochondria in response to starvation; can promote pexophagy when placed ectopically in the peroxisomal membrane	ECM37	-0.273	0.0004512
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	ASP1	YDR321W	Cytosolic L-asparaginase, involved in asparagine catabolism; catalyzes hydrolysis of L-asparagine to aspartic acid and ammonia, has an important role in therapy of acute lymphoblastic leukemia; synthesized constitutively		-0.247	0.001191
pol12-ts	YBL035C	B subunit of DNA polymerase alpha-primase complex, required for initiation of DNA replication during mitotic and premeiotic DNA synthesis; also functions in telomere capping and length regulation		NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	-0.245	0.0000000005856
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1		YMR034C	Putative transporter, member of the SLC10 carrier family; identified in a transposon mutagenesis screen as a gene involved in azole resistance; YMR034C is not an essential gene		-0.245	0.000000001035
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	SAP1	YER047C	Putative ATPase of the AAA family, interacts with the Sin1p transcriptional repressor in the two-hybrid system		-0.243	0.0000000006532
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	TIF1	YKR059W	Translation initiation factor eIF4A; DEA(D/H)-box RNA helicase that couples ATPase activity to RNA binding and unwinding; forms a dumbbell structure of two compact domains connected by a linker; interacts with eIF4G; protein abundance increases in response to DNA replication stress; TIF1 has a paralog, TIF2, that arose from the whole genome duplication	eIF4A	-0.241	0.0003878
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	CAJ1	YER048C	Nuclear type II J heat shock protein of the E. coli dnaJ family, contains a leucine zipper-like motif, binds to non-native substrates for presentation to Ssa3p, may function during protein translocation, assembly and disassembly		-0.219	0.00004819
SEC22	YLR268W	R-SNARE protein; assembles into SNARE complex with Bet1p, Bos1p and Sed5p; cycles between the ER and Golgi complex; involved in anterograde and retrograde transport between the ER and Golgi; synaptobrevin homolog	TSL26|SLY2	NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	-0.211	0.0000001469
sfi1-3	YLL003W	Centrin (Cdc31p)-binding protein required for spindle pole body (SPB) duplication, localizes to the half-bridge of the SPB, required for progression through G(2)-M transition, has similarity to Xenopus laevis XCAP-C		NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	-0.207	0.00002967
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1		YJL049W	Putative protein of unknown function; YJL049W is a non-essential gene		-0.206	0.002854
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	SYH1	YPL105C	Protein of unknown function that influences nuclear pore distribution; co-purifies with ribosomes; contains a GYF domain, which bind proline-rich sequences; deletion extends chronological lifespan; SYH1 has a paralog, SMY2, that arose from the whole genome duplication	MYR1	-0.204	0.003356
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	NUP188	YML103C	Subunit of the inner ring of the nuclear pore complex (NPC); contributes to NPC organization and nucleocytoplasmic transport; homologous to human NUP188		-0.196	7.11E-015
NUP188	YML103C	Subunit of the inner ring of the nuclear pore complex (NPC); contributes to NPC organization and nucleocytoplasmic transport; homologous to human NUP188		NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	-0.196	7.11E-015
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	RTG1	YOL067C	Transcription factor (bHLH) involved in interorganelle communication between mitochondria, peroxisomes, and nucleus		-0.193	6.158E-054
RTG1	YOL067C	Transcription factor (bHLH) involved in interorganelle communication between mitochondria, peroxisomes, and nucleus		NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	-0.193	6.158E-054
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	AFT1	YGL071W	Transcription factor involved in iron utilization and homeostasis; binds consensus site PyPuCACCCPu and activates transcription in response to changes in iron availability; in iron-replete conditions activity is negatively regulated by Grx3p, Grx4p, and Fra2p, which regulate Aft1p translocation from the nucleus to the cytoplasm; AFT1 has a paralog, AFT2, that arose from the whole genome duplication; relative distribution to the nucleus increases upon DNA replication stress	RCS1	-0.192	0.04389
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	PLP1	YDR183W	Protein that interacts with CCT (chaperonin containing TCP-1) complex and has a role in actin and tubulin folding; has weak similarity to phosducins, which are G-protein regulators		-0.185	0.02407
GET2	YER083C	Subunit of the GET complex; involved in insertion of proteins into the ER membrane; required for the retrieval of HDEL proteins from the Golgi to the ER in an ERD2 dependent fashion and for meiotic nuclear division	RMD7|HUR2	NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	-0.178	0.0000001218
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	GET2	YER083C	Subunit of the GET complex; involved in insertion of proteins into the ER membrane; required for the retrieval of HDEL proteins from the Golgi to the ER in an ERD2 dependent fashion and for meiotic nuclear division	RMD7|HUR2	-0.178	0.0000001218
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	MSN1	YOL116W	Transcriptional activator; involved in regulation of invertase and glucoamylase expression, invasive growth and pseudohyphal differentiation, iron uptake, chromium accumulation, and response to osmotic stress; localizes to the nucleus; relative distribution to the nucleus increases upon DNA replication stress	PHD2|MSS10|HRB382|FUP1	-0.178	0.00002996
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	LIP5	YOR196C	Protein involved in biosynthesis of the coenzyme lipoic acid, has similarity to E. coli lipoic acid synthase		-0.178	0.001021
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1		YKL069W	Methionine-R-sulfoxide reductase; reduces the R enantiomer of free Met-SO, in contrast to Ycl033Cp which reduces Met-R-SO in a peptide linkage; has a role in protection against oxidative stress; relative distribution to the nucleus increases upon DNA replication stress	fRMsr|YKG9	-0.177	1.723E-027
SLA1	YBL007C	Cytoskeletal protein binding protein required for assembly of the cortical actin cytoskeleton; interacts with proteins regulating actin dynamics and proteins required for endocytosis; found in the nucleus and cell cortex; has 3 SH3 domains		NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	-0.175	0.0009394
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	SLA1	YBL007C	Cytoskeletal protein binding protein required for assembly of the cortical actin cytoskeleton; interacts with proteins regulating actin dynamics and proteins required for endocytosis; found in the nucleus and cell cortex; has 3 SH3 domains		-0.175	0.0009394
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1		YPR089W	Protein of unknown function; exhibits genetic interaction with ERG11 and protein-protein interaction with Hsp82p	YPR090W	-0.173	0.01957
scc2-4	YDR180W	Subunit of cohesin loading factor (Scc2p-Scc4p), a complex required for loading of cohesin complexes onto chromosomes; involved in establishing sister chromatid cohesion during DSB repair via histone H2AX; evolutionarily-conserved adherin		NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	-0.172	0.002693
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	NUP133	YKR082W	Subunit of the Nup84p subcomplex of the nuclear pore complex (NPC); contributes to nucleocytoplasmic transport and NPC biogenesis and is involved in establishment of a normal nucleocytoplasmic concentration gradient of the GTPase Gsp1p; also plays roles in several processes that may require localization of genes or chromosomes at the nuclear periphery, including double-strand break repair, transcription and chromatin silencing; homologous to human NUP133	RAT3	-0.172	0.006933
NUP133	YKR082W	Subunit of the Nup84p subcomplex of the nuclear pore complex (NPC); contributes to nucleocytoplasmic transport and NPC biogenesis and is involved in establishment of a normal nucleocytoplasmic concentration gradient of the GTPase Gsp1p; also plays roles in several processes that may require localization of genes or chromosomes at the nuclear periphery, including double-strand break repair, transcription and chromatin silencing; homologous to human NUP133	RAT3	NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	-0.172	0.006933
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	PHO80	YOL001W	Cyclin, interacts with cyclin-dependent kinase Pho85p; regulates the response to nutrient levels and environmental conditions, including the response to phosphate limitation and stress-dependent calcium signaling	phoR|VAC5|TUP7|AGS3	-0.167	0.02329
PHO80	YOL001W	Cyclin, interacts with cyclin-dependent kinase Pho85p; regulates the response to nutrient levels and environmental conditions, including the response to phosphate limitation and stress-dependent calcium signaling	phoR|VAC5|TUP7|AGS3	NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	-0.167	0.02329
PEX29	YDR479C	Peroxisomal integral membrane peroxin; involved in the regulation of peroxisomal size, number and distribution; genetic interactions suggest that Pex28p and Pex29p act at steps upstream of those mediated by Pex30p, Pex31p, and Pex32p; forms ER foci upon DNA replication stress		NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	-0.166	0.003531
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	PEX29	YDR479C	Peroxisomal integral membrane peroxin; involved in the regulation of peroxisomal size, number and distribution; genetic interactions suggest that Pex28p and Pex29p act at steps upstream of those mediated by Pex30p, Pex31p, and Pex32p; forms ER foci upon DNA replication stress		-0.166	0.003531
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	PCL8	YPL219W	Cyclin; interacts with Pho85p cyclin-dependent kinase (Cdk) to phosphorylate and regulate glycogen synthase, also activates Pho85p for Glc8p phosphorylation; PCL8 has a paralog, PCL10, that arose from the whole genome duplication		-0.166	3.659E-154
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1		YDR306C	F-box protein of unknown function; interacts with Sgt1p via a Leucine-Rich Repeat (LRR) domain		-0.16	0.023
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	FMC1	YIL098C	Mitochondrial matrix protein, required for assembly or stability at high temperature of the F1 sector of mitochondrial F1F0 ATP synthase; null mutant temperature sensitive growth on glycerol is suppressed by multicopy expression of Odc1p		-0.16	0.007257
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1		YOL050C	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; overlaps verified gene GAL11; deletion confers sensitivity to 4-(N-(S-glutathionylacetyl)amino) phenylarsenoxide (GSAO)		-0.16	0.000002025
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	OSW5	YMR148W	Protein of unknown function that may play a role in spore wall assembly; predicted to contain an N-terminal transmembrane domain; osw5 null mutant spores exhibit increased spore wall permeability and sensitivity to beta-glucanase digestion		-0.158	0.0000000009754
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	MAL12	YGR292W	Maltase (alpha-D-glucosidase), inducible protein involved in maltose catabolism; encoded in the MAL1 complex locus; hydrolyzes the disaccharides maltose, turanose, maltotriose, and sucrose	MALS	-0.157	0.007464
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	PEP1	YBL017C	Type I transmembrane sorting receptor for multiple vacuolar hydrolases; cycles between the late-Golgi and prevacuolar endosome-like compartments	VPT1|VPS10	-0.156	0.00000003936
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	PPH3	YDR075W	Catalytic subunit of protein phosphatase PP4 complex; active complex is composed of Pph3p and Psy2p, with Psy4p apparently providing additional substrate specificity in some cases; regulates recovery from the DNA damage checkpoint and also the gene conversion- and single-strand annealing-mediated pathways of meiotic double-strand break repair; involved in activation of Gln3p to alleviate nitrogen catabolite repression; Pph3p and Psy2p localize to foci on meiotic chromosomes		-0.156	0.00001494
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	CHL1	YPL008W	Probable DNA helicase; involved in sister-chromatid cohesion and genome integrity and interstrand cross-link repair; interacts with ECO1 and CTF18; mutants are defective in silencing, rDNA recombination, aging and the heat shock response; FANCJ-like helicase family member; mutations in the human homolog, DDX11/ChLR1, cause Warsaw breakage syndrome	MCM12|LPA9|CTF1	-0.155	0.000001433
CHL1	YPL008W	Probable DNA helicase; involved in sister-chromatid cohesion and genome integrity and interstrand cross-link repair; interacts with ECO1 and CTF18; mutants are defective in silencing, rDNA recombination, aging and the heat shock response; FANCJ-like helicase family member; mutations in the human homolog, DDX11/ChLR1, cause Warsaw breakage syndrome	MCM12|LPA9|CTF1	NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	-0.155	0.000001433
ceg1-ts	YGL130W	Alpha (guanylyltransferase) subunit of the mRNA capping enzyme, a heterodimer (the other subunit is CET1, an RNA 5'-triphosphatase) involved in adding the 5' cap to mRNA; the mammalian enzyme is a single bifunctional polypeptide		NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	-0.153	0.00006742
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	TIF2	YJL138C	Translation initiation factor eIF4A; DEA(D/H)-box RNA helicase that couples ATPase activity to RNA binding and unwinding; forms a dumbbell structure of two compact domains connected by a linker; interacts with eIF4G; protein abundance increases in response to DNA replication stress; TIF2 has a paralog, TIF1, that arose from the whole genome duplication	eIF4A	-0.153	0.000006218
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	ICE2	YIL090W	Integral ER membrane protein with type-III transmembrane domains; required for maintenance of ER zinc homeostasis; necessary for efficient targeting of Trm1p tRNA methyltransferase to inner nuclear membrane; mutations cause defects in cortical ER morphology in both the mother and daughter cells		-0.15	0.00233
ICE2	YIL090W	Integral ER membrane protein with type-III transmembrane domains; required for maintenance of ER zinc homeostasis; necessary for efficient targeting of Trm1p tRNA methyltransferase to inner nuclear membrane; mutations cause defects in cortical ER morphology in both the mother and daughter cells		NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	-0.15	0.00233
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	SYS1	YJL004C	Integral membrane protein of the Golgi required for targeting of the Arf-like GTPase Arl3p to the Golgi; multicopy suppressor of ypt6 null mutation		-0.149	0.00000000179
SYS1	YJL004C	Integral membrane protein of the Golgi required for targeting of the Arf-like GTPase Arl3p to the Golgi; multicopy suppressor of ypt6 null mutation		NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1	-0.149	0.00000000179
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1		YDR467C	Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data		-0.148	0.01291
NMD2	YHR077C	Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance	SUP111|UPF2|SUA1|IFS1		YDR338C	Putative protein of unknown function, member of the multi-drug and toxin extrusion (MATE) family of the multidrug/oligosaccharidyl-lipid/polysaccharide (MOP) exporter superfamily		-0.147	0.00007965
